88.000,34.000,9.000,9.000
88.053,34.067,9.053,8.975
87.764,33.823,9.357,9.252
87.705,33.813,9.580,9.421
87.641,33.632,9.713,9.567
87.572,33.530,9.717,9.622
87.537,33.145,9.769,9.662
87.386,32.799,9.797,9.664
87.171,32.502,9.840,9.553
87.110,32.691,9.839,9.504
85.705,32.594,9.925,9.557
85.787,32.357,9.899,9.555
85.779,32.102,9.880,9.577
85.742,31.754,9.894,9.556
86.267,31.971,9.913,9.658
86.595,32.075,9.906,9.730
87.126,33.569,9.825,9.673
88.724,33.558,9.832,9.666
89.108,34.687,9.800,9.671
90.581,34.398,9.870,9.793
90.873,34.066,9.905,9.802
91.179,33.949,9.940,9.770
91.475,33.683,9.997,9.738
91.699,33.476,9.997,9.778
91.908,33.465,9.910,9.745
91.980,33.497,9.947,9.712
91.961,33.355,9.929,9.721
91.871,33.102,9.918,9.761
91.735,32.742,9.955,9.721
91.513,32.688,9.906,9.670
91.525,33.999,9.966,9.746
91.466,34.193,9.926,9.675
91.391,34.431,9.872,9.605
91.312,34.567,9.842,9.528
91.207,34.399,9.831,9.543
90.079,34.125,9.870,9.584
90.034,33.943,9.887,9.580
88.780,33.693,9.874,9.567
88.835,33.642,9.913,9.680
88.963,33.423,9.935,9.736
89.183,33.570,9.866,9.740
87.950,33.462,9.996,9.787
88.029,33.448,9.947,9.766
88.019,33.176,9.913,9.774
88.022,32.965,9.885,9.761
86.743,32.765,9.871,9.735
86.818,32.931,9.811,9.691
86.783,32.948,9.836,9.717
86.743,32.978,9.831,9.732
86.680,32.941,9.841,9.730
86.726,32.908,9.814,9.746
86.725,32.913,9.795,9.772
85.689,32.926,9.813,9.777
85.579,32.903,9.837,9.725
85.519,32.774,9.828,9.720
85.563,32.430,9.863,9.726
85.681,32.388,9.876,9.727
85.618,32.368,9.880,9.744
85.646,32.402,9.825,9.745
85.609,32.428,9.779,9.732
85.426,32.448,9.768,9.652
85.482,32.413,9.770,9.682
85.497,33.702,9.750,9.618
85.332,33.563,9.913,9.734
85.195,33.519,9.994,9.754
85.466,33.539,9.902,9.664
85.697,33.635,9.914,9.633
85.747,33.492,10.023,9.744
85.937,33.290,10.031,9.723
85.990,33.028,9.970,9.673
85.895,32.653,9.930,9.598
86.012,32.753,9.990,9.608
86.252,32.557,10.038,9.708
86.518,32.337,10.058,9.835
86.717,32.240,9.962,9.796
88.003,31.976,9.922,9.752
86.942,32.039,9.958,9.753
87.011,31.880,9.899,9.704
87.084,33.163,9.901,9.755
87.432,33.354,9.886,9.822
87.770,33.482,9.931,9.781
88.137,33.532,9.913,9.701
88.431,33.677,9.885,9.643
88.488,33.589,10.014,9.727
88.633,33.325,10.073,9.815
88.458,33.086,10.064,9.756
88.457,32.782,10.025,9.716
88.403,32.393,9.984,9.602
88.534,32.357,9.960,9.567
88.555,32.131,9.984,9.563
88.357,31.860,9.969,9.574
88.046,31.621,9.944,9.494
88.032,31.633,9.902,9.486
88.000,31.513,9.965,9.470
87.990,32.805,9.925,9.555
87.970,32.893,9.884,9.563
87.955,32.885,9.861,9.662
86.789,32.933,9.864,9.608
86.802,33.075,9.837,9.596
86.791,33.150,9.855,9.675
86.714,32.969,9.859,9.635
86.740,32.704,9.860,9.674
87.010,32.590,9.950,9.697
87.444,32.414,10.029,9.733
87.828,32.573,9.979,9.633
87.950,32.551,9.951,9.725
87.962,32.246,9.971,9.693
88.070,31.918,9.991,9.650
89.674,33.177,9.933,9.542
90.008,32.966,9.918,9.556
90.174,32.846,9.903,9.611
90.192,32.657,9.890,9.649
90.230,32.617,9.920,9.709
90.194,32.584,9.969,9.819
90.135,32.528,9.991,9.905
88.820,32.521,10.024,9.972
88.790,32.540,10.042,10.040
88.754,32.518,10.047,10.097
88.767,32.492,10.069,10.144
88.725,32.475,10.092,10.177
88.714,32.489,10.117,10.202
88.727,32.478,10.130,10.227
88.715,32.451,10.137,10.251
88.748,32.450,10.153,10.272
88.756,32.447,10.159,10.291
88.796,32.484,10.166,10.294
88.807,32.455,10.170,10.304
88.815,32.404,10.165,10.316
90.126,32.425,10.173,10.322
90.112,32.384,10.171,10.337
90.104,32.386,10.168,10.336
90.111,33.682,10.165,10.343
88.728,34.928,10.170,10.343
88.578,34.783,10.156,10.371
84.474,34.720,10.211,10.422
83.045,34.568,10.231,10.411
82.964,34.503,10.200,10.345
83.026,34.363,10.209,10.281
83.011,34.426,10.198,10.217
82.930,34.426,10.149,10.179
81.793,31.713,10.157,10.207
81.949,30.507,10.199,10.150
84.725,30.430,10.228,10.100
83.459,26.504,10.221,10.162
